ISO,Year,Value
DOM,1981,2.52310743997379
DOM,1982,2.69938820061764
DOM,1983,2.7201696791722103
DOM,1984,2.6091104898890896
DOM,1985,2.3960636470954
DOM,1986,2.26027329488017
DOM,1987,2.19443139656758
DOM,1988,2.30359891161274
DOM,1989,2.26679149880788
DOM,1990,1.9642614810008
DOM,1991,2.0742643476306
DOM,1992,1.93202517923803
DOM,1993,1.7670165035410903
DOM,1994,1.72210654338789
DOM,1995,1.77442723652334
DOM,1996,1.70661019355113
DOM,1997,1.67974834489006
DOM,1998,1.57950366542755
DOM,1999,1.60638329977542
DOM,2000,1.53809361866452
DOM,2001,1.5182026205732
DOM,2002,1.97013125736943
DOM,2003,1.76703332809509
DOM,2004,1.6265751065759702
DOM,2005,1.5002874032192002
DOM,2006,1.33257145318928
DOM,2007,1.17933618143842
DOM,2008,1.15256844760722
DOM,2009,1.03718840900216
DOM,2010,1.05117960153392
DOM,2011,1.0064307899519
DOM,2012,1.06985989339523
DOM,2013,1.07504666651717
DOM,2014,1.06796756119739
DOM,2015,0.99625366108272
ECU,1970,2.56596141087288
ECU,1971,2.3697795382145497
ECU,1972,2.21349094960752
ECU,1973,2.01736649005858
ECU,1974,2.02897448016687
ECU,1975,2.01008596530973
ECU,1976,1.90330102262208
ECU,1977,2.16902027222404
ECU,1978,2.06422580577311
ECU,1979,2.26902654191886
ECU,1980,2.4589534328552003
ECU,1981,2.0699803632419
ECU,1982,2.14033839932022
ECU,1983,2.00079582161331
ECU,1984,2.24617135160761
ECU,1985,2.19469683747499
ECU,1986,2.40418647307942
ECU,1987,2.30455434771707
ECU,1988,2.43568150930172
ECU,1989,2.36937495854442
ECU,1990,2.2671490782092003
ECU,1991,2.2953791515509
ECU,1992,2.22380084975912
ECU,1993,2.22992366709967
ECU,1994,2.40453756632025
ECU,1995,2.44753847617975
ECU,1996,2.51755360835951
ECU,1997,2.45533607542103
ECU,1998,2.45703796357873
ECU,1999,2.24951221426145
ECU,2000,2.3871757447840096
ECU,2001,2.4662485485115697
ECU,2002,2.4838472319853
ECU,2003,2.4669906483943
ECU,2004,2.3565145378660497
ECU,2005,2.20975731707563
ECU,2006,2.2824740788192703
ECU,2007,2.41865775481106
ECU,2008,2.47355690480302
ECU,2009,2.71986327330676
ECU,2010,2.64840127270633
ECU,2011,2.54869842749476
ECU,2012,2.45632459620347
ECU,2013,2.38572256411386
ECU,2014,2.34937916265348
ECU,2015,2.40206615807958
