ISO,Year,Value,Variable,Description,Source,URL
TCD,1976,25,GB3,"Getting paid, laws and regulations for equal gender pay score","World Bank Women, Business and the Law",http://wbl.worldbank.org/en/reports
TCD,1977,25,GB3,"Getting paid, laws and regulations for equal gender pay score","World Bank Women, Business and the Law",http://wbl.worldbank.org/en/reports
TCD,1978,25,GB3,"Getting paid, laws and regulations for equal gender pay score","World Bank Women, Business and the Law",http://wbl.worldbank.org/en/reports
TCD,1979,25,GB3,"Getting paid, laws and regulations for equal gender pay score","World Bank Women, Business and the Law",http://wbl.worldbank.org/en/reports
TCD,1980,25,GB3,"Getting paid, laws and regulations for equal gender pay score","World Bank Women, Business and the Law",http://wbl.worldbank.org/en/reports
TCD,1981,25,GB3,"Getting paid, laws and regulations for equal gender pay score","World Bank Women, Business and the Law",http://wbl.worldbank.org/en/reports
TCD,1982,25,GB3,"Getting paid, laws and regulations for equal gender pay score","World Bank Women, Business and the Law",http://wbl.worldbank.org/en/reports
TCD,1983,25,GB3,"Getting paid, laws and regulations for equal gender pay score","World Bank Women, Business and the Law",http://wbl.worldbank.org/en/reports
TCD,1984,25,GB3,"Getting paid, laws and regulations for equal gender pay score","World Bank Women, Business and the Law",http://wbl.worldbank.org/en/reports
TCD,1985,25,GB3,"Getting paid, laws and regulations for equal gender pay score","World Bank Women, Business and the Law",http://wbl.worldbank.org/en/reports
TCD,1986,25,GB3,"Getting paid, laws and regulations for equal gender pay score","World Bank Women, Business and the Law",http://wbl.worldbank.org/en/reports
TCD,1987,25,GB3,"Getting paid, laws and regulations for equal gender pay score","World Bank Women, Business and the Law",http://wbl.worldbank.org/en/reports
TCD,1988,25,GB3,"Getting paid, laws and regulations for equal gender pay score","World Bank Women, Business and the Law",http://wbl.worldbank.org/en/reports
TCD,1989,25,GB3,"Getting paid, laws and regulations for equal gender pay score","World Bank Women, Business and the Law",http://wbl.worldbank.org/en/reports
TCD,1990,25,GB3,"Getting paid, laws and regulations for equal gender pay score","World Bank Women, Business and the Law",http://wbl.worldbank.org/en/reports
TCD,1991,25,GB3,"Getting paid, laws and regulations for equal gender pay score","World Bank Women, Business and the Law",http://wbl.worldbank.org/en/reports
TCD,1992,25,GB3,"Getting paid, laws and regulations for equal gender pay score","World Bank Women, Business and the Law",http://wbl.worldbank.org/en/reports
TCD,1993,25,GB3,"Getting paid, laws and regulations for equal gender pay score","World Bank Women, Business and the Law",http://wbl.worldbank.org/en/reports
TCD,1994,25,GB3,"Getting paid, laws and regulations for equal gender pay score","World Bank Women, Business and the Law",http://wbl.worldbank.org/en/reports
TCD,1995,25,GB3,"Getting paid, laws and regulations for equal gender pay score","World Bank Women, Business and the Law",http://wbl.worldbank.org/en/reports
TCD,1996,25,GB3,"Getting paid, laws and regulations for equal gender pay score","World Bank Women, Business and the Law",http://wbl.worldbank.org/en/reports
TCD,1997,25,GB3,"Getting paid, laws and regulations for equal gender pay score","World Bank Women, Business and the Law",http://wbl.worldbank.org/en/reports
TCD,1998,50,GB3,"Getting paid, laws and regulations for equal gender pay score","World Bank Women, Business and the Law",http://wbl.worldbank.org/en/reports
TCD,1999,50,GB3,"Getting paid, laws and regulations for equal gender pay score","World Bank Women, Business and the Law",http://wbl.worldbank.org/en/reports
TCD,2000,50,GB3,"Getting paid, laws and regulations for equal gender pay score","World Bank Women, Business and the Law",http://wbl.worldbank.org/en/reports
TCD,2001,50,GB3,"Getting paid, laws and regulations for equal gender pay score","World Bank Women, Business and the Law",http://wbl.worldbank.org/en/reports
TCD,2002,50,GB3,"Getting paid, laws and regulations for equal gender pay score","World Bank Women, Business and the Law",http://wbl.worldbank.org/en/reports
TCD,2003,50,GB3,"Getting paid, laws and regulations for equal gender pay score","World Bank Women, Business and the Law",http://wbl.worldbank.org/en/reports
TCD,2004,50,GB3,"Getting paid, laws and regulations for equal gender pay score","World Bank Women, Business and the Law",http://wbl.worldbank.org/en/reports
TCD,2005,50,GB3,"Getting paid, laws and regulations for equal gender pay score","World Bank Women, Business and the Law",http://wbl.worldbank.org/en/reports
TCD,2006,50,GB3,"Getting paid, laws and regulations for equal gender pay score","World Bank Women, Business and the Law",http://wbl.worldbank.org/en/reports
TCD,2007,50,GB3,"Getting paid, laws and regulations for equal gender pay score","World Bank Women, Business and the Law",http://wbl.worldbank.org/en/reports
TCD,2008,50,GB3,"Getting paid, laws and regulations for equal gender pay score","World Bank Women, Business and the Law",http://wbl.worldbank.org/en/reports
TCD,2009,50,GB3,"Getting paid, laws and regulations for equal gender pay score","World Bank Women, Business and the Law",http://wbl.worldbank.org/en/reports
TCD,2010,50,GB3,"Getting paid, laws and regulations for equal gender pay score","World Bank Women, Business and the Law",http://wbl.worldbank.org/en/reports
TCD,2011,50,GB3,"Getting paid, laws and regulations for equal gender pay score","World Bank Women, Business and the Law",http://wbl.worldbank.org/en/reports
TCD,2012,50,GB3,"Getting paid, laws and regulations for equal gender pay score","World Bank Women, Business and the Law",http://wbl.worldbank.org/en/reports
TCD,2013,50,GB3,"Getting paid, laws and regulations for equal gender pay score","World Bank Women, Business and the Law",http://wbl.worldbank.org/en/reports
TCD,2014,50,GB3,"Getting paid, laws and regulations for equal gender pay score","World Bank Women, Business and the Law",http://wbl.worldbank.org/en/reports
TCD,2015,50,GB3,"Getting paid, laws and regulations for equal gender pay score","World Bank Women, Business and the Law",http://wbl.worldbank.org/en/reports
TCD,2016,50,GB3,"Getting paid, laws and regulations for equal gender pay score","World Bank Women, Business and the Law",http://wbl.worldbank.org/en/reports
TCD,2017,50,GB3,"Getting paid, laws and regulations for equal gender pay score","World Bank Women, Business and the Law",http://wbl.worldbank.org/en/reports
TCD,2018,50,GB3,"Getting paid, laws and regulations for equal gender pay score","World Bank Women, Business and the Law",http://wbl.worldbank.org/en/reports
TCD,2019,50,GB3,"Getting paid, laws and regulations for equal gender pay score","World Bank Women, Business and the Law",http://wbl.worldbank.org/en/reports
TCD,2020,50,GB3,"Getting paid, laws and regulations for equal gender pay score","World Bank Women, Business and the Law",http://wbl.worldbank.org/en/reports
TGO,1971,25,GB3,"Getting paid, laws and regulations for equal gender pay score","World Bank Women, Business and the Law",http://wbl.worldbank.org/en/reports
TGO,1972,25,GB3,"Getting paid, laws and regulations for equal gender pay score","World Bank Women, Business and the Law",http://wbl.worldbank.org/en/reports
TGO,1973,25,GB3,"Getting paid, laws and regulations for equal gender pay score","World Bank Women, Business and the Law",http://wbl.worldbank.org/en/reports
TGO,1974,25,GB3,"Getting paid, laws and regulations for equal gender pay score","World Bank Women, Business and the Law",http://wbl.worldbank.org/en/reports
TGO,1975,25,GB3,"Getting paid, laws and regulations for equal gender pay score","World Bank Women, Business and the Law",http://wbl.worldbank.org/en/reports
TGO,1976,25,GB3,"Getting paid, laws and regulations for equal gender pay score","World Bank Women, Business and the Law",http://wbl.worldbank.org/en/reports
TGO,1977,25,GB3,"Getting paid, laws and regulations for equal gender pay score","World Bank Women, Business and the Law",http://wbl.worldbank.org/en/reports
TGO,1978,25,GB3,"Getting paid, laws and regulations for equal gender pay score","World Bank Women, Business and the Law",http://wbl.worldbank.org/en/reports
TGO,1979,25,GB3,"Getting paid, laws and regulations for equal gender pay score","World Bank Women, Business and the Law",http://wbl.worldbank.org/en/reports
TGO,1980,25,GB3,"Getting paid, laws and regulations for equal gender pay score","World Bank Women, Business and the Law",http://wbl.worldbank.org/en/reports
TGO,1981,25,GB3,"Getting paid, laws and regulations for equal gender pay score","World Bank Women, Business and the Law",http://wbl.worldbank.org/en/reports
TGO,1982,25,GB3,"Getting paid, laws and regulations for equal gender pay score","World Bank Women, Business and the Law",http://wbl.worldbank.org/en/reports
TGO,1983,25,GB3,"Getting paid, laws and regulations for equal gender pay score","World Bank Women, Business and the Law",http://wbl.worldbank.org/en/reports
TGO,1984,25,GB3,"Getting paid, laws and regulations for equal gender pay score","World Bank Women, Business and the Law",http://wbl.worldbank.org/en/reports
TGO,1985,25,GB3,"Getting paid, laws and regulations for equal gender pay score","World Bank Women, Business and the Law",http://wbl.worldbank.org/en/reports
TGO,1986,25,GB3,"Getting paid, laws and regulations for equal gender pay score","World Bank Women, Business and the Law",http://wbl.worldbank.org/en/reports
TGO,1987,25,GB3,"Getting paid, laws and regulations for equal gender pay score","World Bank Women, Business and the Law",http://wbl.worldbank.org/en/reports
TGO,1988,25,GB3,"Getting paid, laws and regulations for equal gender pay score","World Bank Women, Business and the Law",http://wbl.worldbank.org/en/reports
TGO,1989,25,GB3,"Getting paid, laws and regulations for equal gender pay score","World Bank Women, Business and the Law",http://wbl.worldbank.org/en/reports
TGO,1990,25,GB3,"Getting paid, laws and regulations for equal gender pay score","World Bank Women, Business and the Law",http://wbl.worldbank.org/en/reports
TGO,1991,25,GB3,"Getting paid, laws and regulations for equal gender pay score","World Bank Women, Business and the Law",http://wbl.worldbank.org/en/reports
TGO,1992,25,GB3,"Getting paid, laws and regulations for equal gender pay score","World Bank Women, Business and the Law",http://wbl.worldbank.org/en/reports
TGO,1993,25,GB3,"Getting paid, laws and regulations for equal gender pay score","World Bank Women, Business and the Law",http://wbl.worldbank.org/en/reports
TGO,1994,25,GB3,"Getting paid, laws and regulations for equal gender pay score","World Bank Women, Business and the Law",http://wbl.worldbank.org/en/reports
TGO,1995,25,GB3,"Getting paid, laws and regulations for equal gender pay score","World Bank Women, Business and the Law",http://wbl.worldbank.org/en/reports
TGO,1996,25,GB3,"Getting paid, laws and regulations for equal gender pay score","World Bank Women, Business and the Law",http://wbl.worldbank.org/en/reports
TGO,1997,25,GB3,"Getting paid, laws and regulations for equal gender pay score","World Bank Women, Business and the Law",http://wbl.worldbank.org/en/reports
TGO,1998,25,GB3,"Getting paid, laws and regulations for equal gender pay score","World Bank Women, Business and the Law",http://wbl.worldbank.org/en/reports
TGO,1999,25,GB3,"Getting paid, laws and regulations for equal gender pay score","World Bank Women, Business and the Law",http://wbl.worldbank.org/en/reports
TGO,2000,25,GB3,"Getting paid, laws and regulations for equal gender pay score","World Bank Women, Business and the Law",http://wbl.worldbank.org/en/reports
TGO,2001,25,GB3,"Getting paid, laws and regulations for equal gender pay score","World Bank Women, Business and the Law",http://wbl.worldbank.org/en/reports
TGO,2002,25,GB3,"Getting paid, laws and regulations for equal gender pay score","World Bank Women, Business and the Law",http://wbl.worldbank.org/en/reports
TGO,2003,25,GB3,"Getting paid, laws and regulations for equal gender pay score","World Bank Women, Business and the Law",http://wbl.worldbank.org/en/reports
TGO,2004,25,GB3,"Getting paid, laws and regulations for equal gender pay score","World Bank Women, Business and the Law",http://wbl.worldbank.org/en/reports
