ISO,Description,Year,Value,Variable,Source,URL,From
ARG,Total material footprint (MF) per capita,2006,10.9823240117547,ME2,U.N. Environment: Secretariat of the International Resource Panel,https://www.resourcepanel.org/global-material-flows-database,MANUAL
ARG,Total material footprint (MF) per capita,2007,12.1269909011288,ME2,U.N. Environment: Secretariat of the International Resource Panel,https://www.resourcepanel.org/global-material-flows-database,MANUAL
ARG,Total material footprint (MF) per capita,2008,12.0610630614835,ME2,U.N. Environment: Secretariat of the International Resource Panel,https://www.resourcepanel.org/global-material-flows-database,MANUAL
ARG,Total material footprint (MF) per capita,2009,11.3710375794135,ME2,U.N. Environment: Secretariat of the International Resource Panel,https://www.resourcepanel.org/global-material-flows-database,MANUAL
ARG,Total material footprint (MF) per capita,2010,12.6094785965317,ME2,U.N. Environment: Secretariat of the International Resource Panel,https://www.resourcepanel.org/global-material-flows-database,MANUAL
ARG,Total material footprint (MF) per capita,2011,13.2437616574917,ME2,U.N. Environment: Secretariat of the International Resource Panel,https://www.resourcepanel.org/global-material-flows-database,MANUAL
ARG,Total material footprint (MF) per capita,2012,12.7871772341679,ME2,U.N. Environment: Secretariat of the International Resource Panel,https://www.resourcepanel.org/global-material-flows-database,MANUAL
ARG,Total material footprint (MF) per capita,2013,13.8997100119459,ME2,U.N. Environment: Secretariat of the International Resource Panel,https://www.resourcepanel.org/global-material-flows-database,MANUAL
ARG,Total material footprint (MF) per capita,2014,14.1011899341336,ME2,U.N. Environment: Secretariat of the International Resource Panel,https://www.resourcepanel.org/global-material-flows-database,MANUAL
ARG,Total material footprint (MF) per capita,2015,14.289426512875,ME2,U.N. Environment: Secretariat of the International Resource Panel,https://www.resourcepanel.org/global-material-flows-database,MANUAL
AUS,Total material footprint (MF) per capita,1990,40.2774624991278,ME2,U.N. Environment: Secretariat of the International Resource Panel,https://www.resourcepanel.org/global-material-flows-database,MANUAL
AUS,Total material footprint (MF) per capita,1991,40.7919268227336,ME2,U.N. Environment: Secretariat of the International Resource Panel,https://www.resourcepanel.org/global-material-flows-database,MANUAL
AUS,Total material footprint (MF) per capita,1992,36.9808808529542,ME2,U.N. Environment: Secretariat of the International Resource Panel,https://www.resourcepanel.org/global-material-flows-database,MANUAL
AUS,Total material footprint (MF) per capita,1993,35.3951094200681,ME2,U.N. Environment: Secretariat of the International Resource Panel,https://www.resourcepanel.org/global-material-flows-database,MANUAL
AUS,Total material footprint (MF) per capita,1994,34.9391491758909,ME2,U.N. Environment: Secretariat of the International Resource Panel,https://www.resourcepanel.org/global-material-flows-database,MANUAL
AUS,Total material footprint (MF) per capita,1995,38.2807561144224,ME2,U.N. Environment: Secretariat of the International Resource Panel,https://www.resourcepanel.org/global-material-flows-database,MANUAL
AUS,Total material footprint (MF) per capita,1996,39.2187829246537,ME2,U.N. Environment: Secretariat of the International Resource Panel,https://www.resourcepanel.org/global-material-flows-database,MANUAL
AUS,Total material footprint (MF) per capita,1997,39.9406232527453,ME2,U.N. Environment: Secretariat of the International Resource Panel,https://www.resourcepanel.org/global-material-flows-database,MANUAL
AUS,Total material footprint (MF) per capita,1998,41.9864424807614,ME2,U.N. Environment: Secretariat of the International Resource Panel,https://www.resourcepanel.org/global-material-flows-database,MANUAL
