Year,ISO,Value,Variable,Description,Source,URL,From
2000,SLE,1.6966999260099247,GT1,Share of export of environmental goods (OECD and APEC classifications) to total export (%),UNCOMTRADE data and OECD and APEC classifications of environmental goods,https://comtrade.un.org/data/,MANUAL
2000,SGP,4.701497221715407,GT1,Share of export of environmental goods (OECD and APEC classifications) to total export (%),UNCOMTRADE data and OECD and APEC classifications of environmental goods,https://comtrade.un.org/data/,MANUAL
2000,SVK,4.08409944380755,GT1,Share of export of environmental goods (OECD and APEC classifications) to total export (%),UNCOMTRADE data and OECD and APEC classifications of environmental goods,https://comtrade.un.org/data/,MANUAL
2000,SVN,7.095694294541877,GT1,Share of export of environmental goods (OECD and APEC classifications) to total export (%),UNCOMTRADE data and OECD and APEC classifications of environmental goods,https://comtrade.un.org/data/,MANUAL
2000,ZAF,10.725954176737691,GT1,Share of export of environmental goods (OECD and APEC classifications) to total export (%),UNCOMTRADE data and OECD and APEC classifications of environmental goods,https://comtrade.un.org/data/,MANUAL
2000,ESP,4.071134425501581,GT1,Share of export of environmental goods (OECD and APEC classifications) to total export (%),UNCOMTRADE data and OECD and APEC classifications of environmental goods,https://comtrade.un.org/data/,MANUAL
2000,LKA,0.8341650615443197,GT1,Share of export of environmental goods (OECD and APEC classifications) to total export (%),UNCOMTRADE data and OECD and APEC classifications of environmental goods,https://comtrade.un.org/data/,MANUAL
2000,SUR,0.32469646736992547,GT1,Share of export of environmental goods (OECD and APEC classifications) to total export (%),UNCOMTRADE data and OECD and APEC classifications of environmental goods,https://comtrade.un.org/data/,MANUAL
2000,SWE,6.018219724755468,GT1,Share of export of environmental goods (OECD and APEC classifications) to total export (%),UNCOMTRADE data and OECD and APEC classifications of environmental goods,https://comtrade.un.org/data/,MANUAL
2000,CHE,10.730913509119974,GT1,Share of export of environmental goods (OECD and APEC classifications) to total export (%),UNCOMTRADE data and OECD and APEC classifications of environmental goods,https://comtrade.un.org/data/,MANUAL
2000,THA,3.060982829248476,GT1,Share of export of environmental goods (OECD and APEC classifications) to total export (%),UNCOMTRADE data and OECD and APEC classifications of environmental goods,https://comtrade.un.org/data/,MANUAL
2000,TGO,0.10644576494937075,GT1,Share of export of environmental goods (OECD and APEC classifications) to total export (%),UNCOMTRADE data and OECD and APEC classifications of environmental goods,https://comtrade.un.org/data/,MANUAL
2000,TON,0.0012357472007236536,GT1,Share of export of environmental goods (OECD and APEC classifications) to total export (%),UNCOMTRADE data and OECD and APEC classifications of environmental goods,https://comtrade.un.org/data/,MANUAL
2000,TTO,8.9469272749457,GT1,Share of export of environmental goods (OECD and APEC classifications) to total export (%),UNCOMTRADE data and OECD and APEC classifications of environmental goods,https://comtrade.un.org/data/,MANUAL
2000,TUN,1.3377337905006155,GT1,Share of export of environmental goods (OECD and APEC classifications) to total export (%),UNCOMTRADE data and OECD and APEC classifications of environmental goods,https://comtrade.un.org/data/,MANUAL
2000,TUR,2.6755090279328577,GT1,Share of export of environmental goods (OECD and APEC classifications) to total export (%),UNCOMTRADE data and OECD and APEC classifications of environmental goods,https://comtrade.un.org/data/,MANUAL
2000,TKM,0.03093673558863075,GT1,Share of export of environmental goods (OECD and APEC classifications) to total export (%),UNCOMTRADE data and OECD and APEC classifications of environmental goods,https://comtrade.un.org/data/,MANUAL
