ISO,Year,Value,Description,Source,URL,DownloadDate,Variable,From
AND,2003,530000.0,C02 Total excluding LUCF and Agriculture Tons,CAIT _AND_ PIK,https://www.climatewatchdata.org/api/v1/data/historical_emissions?gas_ids%5B%5D=326&sector_ids%5B%5D=1298&sector_ids%5B%5D=1316&source_ids%5B%5D=111&source_ids%5B%5D=112,2021-08-10,GE1.0,CW API
AND,2004,560000.0,C02 Total excluding LUCF and Agriculture Tons,CAIT _AND_ PIK,https://www.climatewatchdata.org/api/v1/data/historical_emissions?gas_ids%5B%5D=326&sector_ids%5B%5D=1298&sector_ids%5B%5D=1316&source_ids%5B%5D=111&source_ids%5B%5D=112,2021-08-10,GE1.0,CW API
AND,2005,580000.0,C02 Total excluding LUCF and Agriculture Tons,CAIT _AND_ PIK,https://www.climatewatchdata.org/api/v1/data/historical_emissions?gas_ids%5B%5D=326&sector_ids%5B%5D=1298&sector_ids%5B%5D=1316&source_ids%5B%5D=111&source_ids%5B%5D=112,2021-08-10,GE1.0,CW API
AND,2006,550000.0,C02 Total excluding LUCF and Agriculture Tons,CAIT _AND_ PIK,https://www.climatewatchdata.org/api/v1/data/historical_emissions?gas_ids%5B%5D=326&sector_ids%5B%5D=1298&sector_ids%5B%5D=1316&source_ids%5B%5D=111&source_ids%5B%5D=112,2021-08-10,GE1.0,CW API
AND,2007,540000.0,C02 Total excluding LUCF and Agriculture Tons,CAIT _AND_ PIK,https://www.climatewatchdata.org/api/v1/data/historical_emissions?gas_ids%5B%5D=326&sector_ids%5B%5D=1298&sector_ids%5B%5D=1316&source_ids%5B%5D=111&source_ids%5B%5D=112,2021-08-10,GE1.0,CW API
AND,2008,540000.0,C02 Total excluding LUCF and Agriculture Tons,CAIT _AND_ PIK,https://www.climatewatchdata.org/api/v1/data/historical_emissions?gas_ids%5B%5D=326&sector_ids%5B%5D=1298&sector_ids%5B%5D=1316&source_ids%5B%5D=111&source_ids%5B%5D=112,2021-08-10,GE1.0,CW API
AND,2009,520000.0,C02 Total excluding LUCF and Agriculture Tons,CAIT _AND_ PIK,https://www.climatewatchdata.org/api/v1/data/historical_emissions?gas_ids%5B%5D=326&sector_ids%5B%5D=1298&sector_ids%5B%5D=1316&source_ids%5B%5D=111&source_ids%5B%5D=112,2021-08-10,GE1.0,CW API
AND,2010,520000.0,C02 Total excluding LUCF and Agriculture Tons,CAIT _AND_ PIK,https://www.climatewatchdata.org/api/v1/data/historical_emissions?gas_ids%5B%5D=326&sector_ids%5B%5D=1298&sector_ids%5B%5D=1316&source_ids%5B%5D=111&source_ids%5B%5D=112,2021-08-10,GE1.0,CW API
AND,2011,490000.0,C02 Total excluding LUCF and Agriculture Tons,CAIT _AND_ PIK,https://www.climatewatchdata.org/api/v1/data/historical_emissions?gas_ids%5B%5D=326&sector_ids%5B%5D=1298&sector_ids%5B%5D=1316&source_ids%5B%5D=111&source_ids%5B%5D=112,2021-08-10,GE1.0,CW API
AND,2012,490000.0,C02 Total excluding LUCF and Agriculture Tons,CAIT _AND_ PIK,https://www.climatewatchdata.org/api/v1/data/historical_emissions?gas_ids%5B%5D=326&sector_ids%5B%5D=1298&sector_ids%5B%5D=1316&source_ids%5B%5D=111&source_ids%5B%5D=112,2021-08-10,GE1.0,CW API
